@T,table
Created,2019-02-27 16:49
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2015-07-21 00:00,0.0
,2015-07-21 01:00,0.0
,2015-07-21 02:00,0.0
,2015-07-21 03:00,0.0
,2015-07-21 04:00,0.0
,2015-07-21 05:00,0.0
,2015-07-21 06:00,0.0
,2015-07-21 07:00,0.0
,2015-07-21 08:00,0.0
,2015-07-21 09:00,0.0
,2015-07-21 10:00,0.0
,2015-07-21 11:00,0.0
,2015-07-21 12:00,0.0
,2015-07-21 13:00,0.0
,2015-07-21 14:00,0.0
,2015-07-21 15:00,0.0
,2015-07-21 16:00,0.0
,2015-07-21 17:00,0.0
,2015-07-21 18:00,0.0
,2015-07-21 19:00,0.0
,2015-07-21 20:00,0.0
,2015-07-21 21:00,0.0
,2015-07-21 22:00,0.0
,2015-07-21 23:00,0.0

